certified,final_cc_cname_DI,course_name,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts
0,Australia,Circuits & Electronics,0.03247787610619469,503.1592920353982,6.539823008849558,71.03539823008849,3.424778761061947,0.0
0,Australia,Electricity & Magnetism,0.011237113402061856,414.9587628865979,6.597938144329897,55.134020618556704,3.577319587628866,0.0
0,Australia,Elements of structures,0.125,1512.5,13.5,102.0,5.0,0.0
0,Australia,Health in Numbers,0.05417322834645663,705.8818897637796,7.216535433070866,125.12992125984252,3.984251968503937,0.0
0,Australia,Human Health & Global Environmental  Change,0.024272727272727272,184.3,3.5454545454545454,16.072727272727274,2.309090909090909,0.0
0,Australia,Intro to Biology,0.03154929577464789,602.2676056338029,7.295774647887324,94.04225352112677,3.2535211267605635,0.0
0,Australia,Intro to CS & Programming,0.02028716216216212,491.4932432432432,6.569256756756757,54.4222972972973,3.0945945945945947,0.0
0,Australia,Intro to Solid State Chemistry,0.03904761904761904,610.2857142857143,6.777777777777778,68.52380952380952,3.3015873015873014,0.0
0,Australia,Mechanics ReView,0.31,2997.0,27.0,14.0,24.0,0.0
0,Australia,The Challenges of Global Poverty,0.04375722543352599,401.9017341040462,5.543352601156069,58.08670520231214,2.3641618497109826,0.0
0,Bangladesh,Circuits & Electronics,0.01632478632478633,442.5897435897436,6.794871794871795,62.64957264957265,3.299145299145299,0.0
0,Bangladesh,Electricity & Magnetism,0.008720930232558141,411.0,6.72093023255814,46.75581395348837,3.558139534883721,0.0
0,Bangladesh,Health in Numbers,0.05565217391304349,671.1739130434783,8.130434782608695,34.78260869565217,3.869565217391304,0.0
0,Bangladesh,Human Health & Global Environmental  Change,0.01,153.05714285714285,4.142857142857143,18.714285714285715,2.0285714285714285,0.0
0,Bangladesh,Intro to Biology,0.05600000000000001,288.2,5.0,19.2,3.6,0.0
0,Bangladesh,Intro to CS & Programming,0.01081730769230769,374.53846153846155,6.9326923076923075,43.21153846153846,3.5625,0.014423076923076924
0,Bangladesh,Intro to Solid State Chemistry,0.01,448.1666666666667,6.166666666666667,36.0,5.0,0.0
0,Bangladesh,Mechanics ReView,0.2,3263.0,31.0,5.0,26.0,0.0
0,Bangladesh,The Challenges of Global Poverty,0.04000000000000001,540.0322580645161,7.806451612903226,35.74193548387097,3.838709677419355,0.0
0,Brazil,Circuits & Electronics,0.02974767596281541,658.0730411686587,8.296148738379815,95.95883134130146,3.7038512616201857,0.01593625498007968
0,Brazil,Electricity & Magnetism,0.015166666666666656,600.0685185185185,7.392592592592592,104.16666666666667,3.724074074074074,0.025925925925925925
0,Brazil,Elements of structures,0.03933333333333331,682.0388888888889,8.744444444444444,85.28888888888889,3.0166666666666666,0.016666666666666666
0,Brazil,Health in Numbers,0.028676171079429703,558.9164969450102,6.097759674134419,99.85947046843177,2.989816700610998,0.0
0,Brazil,Human Health & Global Environmental  Change,0.030728476821192032,267.341059602649,4.380794701986755,28.251655629139073,2.3675496688741724,0.0
0,Brazil,Intro to Biology,0.027017543859649117,621.0921052631579,7.609649122807017,119.64035087719299,3.3552631578947367,0.0
0,Brazil,Intro to CS & Programming,0.01599479166666675,472.3755208333333,6.271354166666667,62.4171875,2.9171875,0.00625
0,Brazil,Intro to Solid State Chemistry,0.017919799498746867,431.30075187969925,5.646616541353383,68.71428571428571,2.5213032581453634,0.0
0,Brazil,Mechanics ReView,0.10875,2633.125,21.0,14.25,19.375,0.0
0,Brazil,The Challenges of Global Poverty,0.024590909090909083,364.6318181818182,5.4772727272727275,49.222727272727276,2.040909090909091,0.0
0,Canada,Circuits & Electronics,0.017070312499999997,465.51171875,6.9609375,66.76953125,3.38671875,0.0078125
0,Canada,Electricity & Magnetism,0.012980392156862747,500.8,6.8352941176470585,74.8078431372549,3.6862745098039214,0.00784313725490196
0,Canada,Elements of structures,0.04147058823529412,643.9411764705883,9.117647058823529,96.26470588235294,3.7941176470588234,0.0
0,Canada,Health in Numbers,0.07356932153392333,917.7345132743363,9.117994100294986,147.24483775811208,4.404129793510324,0.0
0,Canada,Human Health & Global Environmental  Change,0.04155303030303029,260.9810606060606,4.443181818181818,24.765151515151516,2.2613636363636362,0.0
0,Canada,Intro to Biology,0.03181208053691275,773.6577181208054,9.577181208053691,104.45637583892618,4.154362416107382,0.10067114093959731
0,Canada,Intro to CS & Programming,0.02272502064409591,621.1635012386457,7.193228736581338,69.96118909991742,3.338563170933113,0.012386457473162676
0,Canada,Intro to Solid State Chemistry,0.020833333333333332,445.287037037037,5.87037037037037,53.22222222222222,2.7962962962962963,0.0
0,Canada,Mechanics ReView,0.1775,2816.25,18.375,8.0,16.5,0.0
0,Canada,The Challenges of Global Poverty,0.036485355648535556,332.3765690376569,5.046025104602511,38.10460251046025,2.2552301255230125,0.0
0,China,Circuits & Electronics,0.010327868852459019,347.27868852459017,7.114754098360656,50.377049180327866,3.721311475409836,0.0
0,China,Electricity & Magnetism,0.017272727272727273,299.3090909090909,6.672727272727273,33.654545454545456,3.690909090909091,0.0
0,China,Elements of structures,0.0,48.5,3.0,3.0,2.5,0.0
0,China,Health in Numbers,0.16833333333333333,1313.5833333333333,16.083333333333332,28.0,6.666666666666667,0.0
0,China,Human Health & Global Environmental  Change,0.025714285714285714,317.0,4.714285714285714,17.857142857142858,2.2857142857142856,0.0
0,China,Intro to Biology,0.02541666666666667,631.1666666666666,10.458333333333334,77.08333333333333,4.75,0.0
0,China,Intro to CS & Programming,0.017457627118644056,501.8474576271187,8.101694915254237,43.03954802259887,3.6836158192090394,0.0
