Source,Target,Weight,Type
4937cb8c0e02aefce17eb42376b06a613fbacb4d,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
d0179435fce9d5b157b0f63323ac5f2bf290f2d5,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
ab234fa943234153893808aa3c1da48e31fda382,c8dccd3ec682b044608eaadf78624aeca41aae0f,17,Undirected
c8dccd3ec682b044608eaadf78624aeca41aae0f,c8dccd3ec682b044608eaadf78624aeca41aae0f,6,Undirected
8021d25a1e57eb94b425c16c662eb3ead7deb6b7,c8dccd3ec682b044608eaadf78624aeca41aae0f,3,Undirected
48eff55eda85d02d4de2f4bb8905c2048ba2f58b,c8dccd3ec682b044608eaadf78624aeca41aae0f,7,Undirected
c7b07d45bd50766f5ea18fabeeb0fa8009644403,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
836e850367097abdaae80a3d368decb8a5c6da4f,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
6367ca7b15301750d645b4934cd063b4f1ec20d7,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
26a353decb00226ce1eeb87f629dbb6e7ebad8c0,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
bfbb19c9687677e86a4ff17fd5588acfdd1d596e,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
bdfeff1d4d7ff794538d120e489227b3cefe5262,c8dccd3ec682b044608eaadf78624aeca41aae0f,1,Undirected
182bd58018bd31989c58a134529963273499473c,43d96573f1ad8c25184bc2d3fc5f220e595e473d,2,Undirected
43d96573f1ad8c25184bc2d3fc5f220e595e473d,43d96573f1ad8c25184bc2d3fc5f220e595e473d,4,Undirected
12f3323c317e95a52783d3dc2c494438e6836bc6,43d96573f1ad8c25184bc2d3fc5f220e595e473d,2,Undirected
4d1c8d6c69e44f8f3790b95ee0ef7ca437d911b1,395462ff9966bb5f7d60cf6b95f1c6ef1a43559e,1,Undirected
395462ff9966bb5f7d60cf6b95f1c6ef1a43559e,395462ff9966bb5f7d60cf6b95f1c6ef1a43559e,5,Undirected
b45b9fd8047c05de6c3d030b7d9da5678f1deae4,395462ff9966bb5f7d60cf6b95f1c6ef1a43559e,1,Undirected
2fb35878a92081420d5302b01229b6383077837c,903c48f3568573dc7c3455a4e6c28522efec40c5,2,Undirected
903c48f3568573dc7c3455a4e6c28522efec40c5,903c48f3568573dc7c3455a4e6c28522efec40c5,5,Undirected
ebb8a8dfa65c8bd9de985d12ae658fa20014d6bb,903c48f3568573dc7c3455a4e6c28522efec40c5,1,Undirected
cbebde929642f59a9352964f5437a3e1e1fae018,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
93f90257e26f9aa482d24ce30c7747e77ce81691,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
5c77bbb1a882c3874f807a67a05b0e96e72c7ccb,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
2fb777ea463aea2aa49a12aab9a62ffe5675b51f,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
485d0f26d3eb45b9bf6a85a3a401b2162a496f0c,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
2fb35878a92081420d5302b01229b6383077837c,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
77295e4ffffa11e8a9a8fc29fa49fc09552d82ba,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
9df6a45c81da3bedfa002208f35c456ac22d2a41,9076709fdd75a4c79d4356c66cd6de0de61e67fb,2,Undirected
59a289e97b5df5ca668dc182c17dc23251c20089,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
4040d862d4f3166052b99260711e18a304c73e73,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
33f98c9f27bd2067fe8a41720df8cf21decf9172,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
8d53116a1410e213a22da8f0ab67fa1156a11a09,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
6b049710a7c648d4209f4365dc1c760335ba91d2,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
660375a602936d5c2873d1fff6319042e6d94ca3,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
012c1f4893633524a35d1019a22183e58c48068d,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
ff78693d932644c151239c4d4665f80fd1a78cf8,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
8451224099497aa958275996864741fb0f9c2f02,9076709fdd75a4c79d4356c66cd6de0de61e67fb,2,Undirected
be271761175a2caff2193e29fc25d1fcc24d0545,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
ee36de699c9d54f2b3efa073d6bf9ba4deb981a1,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
ad9d0fd7d1def5fd4611a286f55c5d3dcef9fcdb,9076709fdd75a4c79d4356c66cd6de0de61e67fb,2,Undirected
128fe3a03d63cac93c2687472568ddc19a5db478,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
9076709fdd75a4c79d4356c66cd6de0de61e67fb,9076709fdd75a4c79d4356c66cd6de0de61e67fb,2,Undirected
4ed61b5278206ea34c1b57bc020fbf2a1512a955,9076709fdd75a4c79d4356c66cd6de0de61e67fb,1,Undirected
9973c9fe2120e179a4580aa76676a445239e4493,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
4dd2ff4cf1215d901557063a1fcb266566cab4ea,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
2f3acf3f11bfc9f1b26a4845b3361d3c5d2f2a09,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
b8a3dc93c38ea77d0b5707c719b2db39c3379a09,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
53a31d9476741082dcae9e2436a2b1e8df68d26a,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
64df1eedd7c4291125aa4725ee89eb4216957f95,f49e55a236aca24bcedd327ded15ffcff457de5d,4,Undirected
0c544d5e978af59e25fd7a133e43fe4095feaeed,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
4c3c27276ff6100a52f854831e1adda18b32b320,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
e6336c52601e406bc27e88b27a47d3e841713ba5,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
e2faaa37acd129c74b526236b47e737c8d43c24e,f49e55a236aca24bcedd327ded15ffcff457de5d,1,Undirected
